Source Text (RU)	Layer Index	Translation (Lens)
Es ist mir wurst, wenn du nicht kommst.	0	I'm not going to change my mind, I'm not going to change my mind, I'm not going to change my mind, I'm not going to change my mind.
Es ist mir wurst, wenn du nicht kommst.	1	It is not a question of whether we want to or not.
Es ist mir wurst, wenn du nicht kommst.	2	It is when you do not come.
Es ist mir wurst, wenn du nicht kommst.	3	It is when you dont come.
Es ist mir wurst, wenn du nicht kommst.	4	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	5	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	6	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	7	It's me if you don't come.
Es ist mir wurst, wenn du nicht kommst.	8	It's my fault if you don't come.
Es ist mir wurst, wenn du nicht kommst.	9	It's my sausage if you don't come.
Es ist mir wurst, wenn du nicht kommst.	10	It's my sausage if you don't come.
Es ist mir wurst, wenn du nicht kommst.	11	I'm pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	12	I'm pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	13	I'm pissed off if you're not coming.
Es ist mir wurst, wenn du nicht kommst.	14	I'm pissed off that you're not coming.
Es ist mir wurst, wenn du nicht kommst.	15	I'm pissed off that you're not coming.
Es ist mir wurst, wenn du nicht kommst.	16	I'm pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	17	I'm pissed off you're not coming.
Es ist mir wurst, wenn du nicht kommst.	18	I'm pissed off you're not coming.
Es ist mir wurst, wenn du nicht kommst.	19	I'm pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	20	I'll be pissed if you don't show up.
Es ist mir wurst, wenn du nicht kommst.	21	I'll be pissed off if you don't show up.
Es ist mir wurst, wenn du nicht kommst.	22	I'll be pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	23	I'll be pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	24	I'll be pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	0	I'm not going to change my mind, I'm not going to change my mind, I'm not going to change my mind, I'm not going to change my mind.
Es ist mir wurst, wenn du nicht kommst.	1	It is not a question of whether we want to or not.
Es ist mir wurst, wenn du nicht kommst.	2	It is when you do not come.
Es ist mir wurst, wenn du nicht kommst.	3	It is when you dont come.
Es ist mir wurst, wenn du nicht kommst.	4	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	5	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	6	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	7	It's me if you don't come.
Es ist mir wurst, wenn du nicht kommst.	8	It's my fault if you don't come.
Es ist mir wurst, wenn du nicht kommst.	9	It's my sausage if you don't come.
Es ist mir wurst, wenn du nicht kommst.	10	It's my sausage if you don't come.
Es ist mir wurst, wenn du nicht kommst.	11	I'm pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	12	I'm pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	13	I'm pissed off if you're not coming.
Es ist mir wurst, wenn du nicht kommst.	14	I'm pissed off that you're not coming.
Es ist mir wurst, wenn du nicht kommst.	15	I'm pissed off that you're not coming.
Es ist mir wurst, wenn du nicht kommst.	16	I'm pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	17	I'm pissed off you're not coming.
Es ist mir wurst, wenn du nicht kommst.	18	I'm pissed off you're not coming.
Es ist mir wurst, wenn du nicht kommst.	19	I'm pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	20	I'll be pissed if you don't show up.
Es ist mir wurst, wenn du nicht kommst.	21	I'll be pissed off if you don't show up.
Es ist mir wurst, wenn du nicht kommst.	22	I'll be pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	23	I'll be pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	24	I'll be pissed off if you don't come.
Es ist mir wurst, wenn du nicht kommst.	0	I'm not going to change my mind, I'm not going to change my mind, I'm not going to change my mind, I'm not going to change my mind.
Es ist mir wurst, wenn du nicht kommst.	1	It is not a question of whether we want to or not.
Es ist mir wurst, wenn du nicht kommst.	2	It is when you do not come.
Es ist mir wurst, wenn du nicht kommst.	3	It is when you dont come.
Es ist mir wurst, wenn du nicht kommst.	4	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	5	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	6	It is, if you dont come.
Es ist mir wurst, wenn du nicht kommst.	7	It's me if you don't come.
