Source Text (RU)	Layer Index	Translation (Lens)
Однако полиция не захотела выносить сор из избы, и дело замяли.	0	I don't know what I'm doing, I don't know what I'm doing, I don't know what I'm doing, I don't know what I'm doing, I don't know what I'm doing, I don't know what I's I'm doing, I don't know what I don't get, I don't get, I don't get, I don't get, I don't get, I don't get, I don't get, I don't get, I don't get, I don't get, I don't get, I get, I get, I don't get, I get, I get, I get, I get, I get, I get, I get, I get, I get, I get, I get, I get, I get, I get, I get, I get what I get, I get, I get my police police police police police police police police police police police, I don't just this, I don't get, I
Однако полиция не захотела выносить сор из избы, и дело замяли.	1	However, the police did not respond to the complaint.
Однако полиция не захотела выносить сор из избы, и дело замяли.	2	However, she did not want to be called a witch.
Однако полиция не захотела выносить сор из избы, и дело замяли.	3	However, she did not want to be a police officer.
Однако полиция не захотела выносить сор из избы, и дело замяли.	4	However, the police did not take the opportunity to do so.
Однако полиция не захотела выносить сор из избы, и дело замяли.	5	However, the police did not want to bring out the sorrows, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	6	However, the police did not want to bring out the sorrows and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	7	However, the police did not want to bring out the pits and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	8	However, the police did not want to carry out the searches and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	9	However, the police did not want to take the sorrows out of the house, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	10	However, the police did not want to bring out the scum from the house, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	11	However, the police did not want to bring the pests out of the house, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	12	However, the police did not want to bring the pests out of the house, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	13	But the police didn't want to bring the bugs out of the room, so they covered it up.
Однако полиция не захотела выносить сор из избы, и дело замяли.	14	But the police didn't want to bring the bugs out of the room, so they put it in the trash.
Однако полиция не захотела выносить сор из избы, и дело замяли.	15	But the police didn't want to take the soot out of the room, so they covered it up.
Однако полиция не захотела выносить сор из избы, и дело замяли.	16	But the police didn't want to take the dirt out of the room, so they covered it up.
Однако полиция не захотела выносить сор из избы, и дело замяли.	17	However, the police did not want to take the soot out of the room, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	18	However, the police did not want to take the soot out of the room, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	19	However, the police did not want to remove the debris from the room, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	20	However, the police did not want to remove the debris from the room, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	21	However, the police did not want to remove the debris from the room, and the case was dismissed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	22	However, the police did not want to remove the debris from the room, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	23	However, the police did not want to take the debris out of the room, and the case was closed.
Однако полиция не захотела выносить сор из избы, и дело замяли.	24	However, the police did not want to take the dirt out of the room, and the case was closed.
